ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
807095,2007-03-02 20:41:42 +0000,2014-07-19 02:48:37 +0000,142194,19,146563,963,12413108,nytimes,The New York Times,true,false,"Where the conversation begins. Follow for breaking news, special reports, http://t.co/u15NNuLyJH homepage links and RTs of our journalists.","Rebels Crowed of Past Strikes, but Deny This http://t.co/TQ5f6yb0Nd",New York City,http://www.nytimes.com/
2467791,2007-03-27 11:19:39 +0000,2014-07-19 02:51:42 +0000,110117,3899,54405,1106,2993953,washingtonpost,Washington Post,true,false,"Tweets about everything from breaking news to bad restaurants. Sometimes global, sometimes local. Led by @MiGold.",SNL's one-and-done club adds new members http://t.co/m8bbXeyjOo,"Washington, D.C. ",http://instagram.com/washingtonpost
3108351,2007-04-01 06:22:13 +0000,2014-07-19 02:37:15 +0000,86317,872,78979,901,4716004,WSJ,Wall Street Journal,true,false,"In our 125th year, breaking news and features from the WSJ. Tweets by @rubinafillion @elanazak @allisonlichter @sarahmarshall @toddjolmstead and @mayaj.",Malaysia Airlines flight #MH17 was downed in battle-torn eastern Ukraine region http://t.co/iuiLGqfEtO http://t.co/M4HRhwTyJ1,"New York, NY",http://wsj.com
